id;id_station;level_competence;last_assesement;id_operateur
599;10;2;16/09/2022;342
600;13;2;16/09/2022;342
601;12;2;16/09/2022;342
602;9;2;16/09/2022;342
603;8;2;16/09/2022;342
604;3;1;21/09/2021;340
605;3;1;21/09/2021;340
606;5;2;21/09/2021;340
607;5;1;21/09/2021;340
608;13;3;14/09/2022;338
609;13;3;14/09/2022;336
610;12;2;20/12/2022;336
611;13;2;16/09/2022;333
612;12;2;16/09/2022;333
613;8;2;16/09/2022;333
614;26;2;06/08/2022;332
615;26;2;06/08/2022;332
616;26;2;06/08/2022;332
617;26;2;06/08/2022;332
618;26;2;06/08/2022;332
619;28;2;06/08/2022;332
620;28;2;06/08/2022;332
621;27;2;06/08/2022;332
622;27;2;06/08/2022;332
623;27;2;06/08/2022;332
