Category;KPI;Alias;UoM;Day;Value;Target
Service Level;QTE RM6 S2;  ;Number;24 May 2023;98,00;105,00
Service Level;QTE RM6 S2;  ;Number;25 May 2023;84,00;105,00
Service Level;QTE RM6 S2;  ;Number;26 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;27 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;28 May 2023; ; 
Service Level;QTE RM6 S2;  ;Number;29 May 2023;81,00;105,00
Service Level;QTE RM6 S2;  ;Number;30 May 2023;84,00;105,00
Service Level;QTE RM6 S2;  ;Number;31 May 2023;82,00;105,00
Service Level;QTE RM6 S2;  ;Number;01 Jun 2023;86,00;105,00
Service Level;QTE RM6 S2;  ;Number;02 Jun 2023; ; 
Service Level;QTE RM6 S2;  ;Number;03 Jun 2023; ; 
Service Level;QTE RM6 S2;  ;Number;04 Jun 2023;83,00;105,00
Service Level;QTE RM6 S2;  ;Number;05 Jun 2023;93,00;105,00
Service Level;QTE RM6 S2;  ;Number;06 Jun 2023;54,00;105,00
Service Level;QTE RM6 S2;  ;Number;07 Jun 2023;97,00;105,00
Service Level;QTE RM6 S2;  ;Number;08 Jun 2023; ; 
